Date,Open,High,Low,Close,Adj Close,Volume
1996-12-11,705.98999,709.47998,704.429993,704.679993,704.679993,28000
1996-12-12,705.109985,706.01001,688.73999,689.380005,689.380005,25900
1996-12-13,690.440002,695.719971,677.640015,689.070007,689.070007,26500
1996-12-16,686.969971,686.969971,667.710022,673.919983,673.919983,22800
1996-12-17,675.349976,680.090027,660.390015,663.349976,663.349976,31600
1996-12-18,662.070007,671.429993,655.469971,661.390015,661.390015,31500
1996-12-19,668.130005,690.969971,668.130005,690.969971,690.969971,30400
1996-12-20,695.330017,703.51001,692.469971,700.869995,700.869995,30000
1996-12-23,691.97998,697.119995,684.809998,684.809998,684.809998,21500
1996-12-24,683.109985,687.059998,677.559998,677.76001,677.76001,23800
1996-12-26,676.210022,676.210022,655.23999,659.01001,659.01001,25500
1996-12-27,654.820007,657.039978,643.570007,651.219971,651.219971,35100
1996-12-30,647.669983,655.700012,635.409973,653.789978,653.789978,13900
1996-12-31,637.97998,637.97998,625.01001,626.869995,626.869995,17600
1997-01-01,622.450012,627.609985,609.119995,611.049988,611.049988,24100
1997-01-02,608.530029,623.390015,600.559998,621.409973,621.409973,34200
1997-01-03,619.099976,640.809998,612.409973,639.869995,639.869995,36100
1997-01-06,637.98999,653.590027,636.809998,648.690002,648.690002,36500
1997-01-07,659.809998,664.950012,655.73999,659.539978,659.539978,28700
1997-01-08,656.669983,687.659973,656.669983,686.590027,686.590027,36600
1997-01-09,690.179993,699.76001,686.02002,699.76001,699.76001,42000
1997-01-10,701.640015,711.960022,694.390015,711.859985,711.859985,47300
1997-01-13,713.070007,720.409973,695.77002,701.179993,701.179993,48200
1997-01-14,697.559998,720.690002,697.559998,718.460022,718.460022,43000
1997-01-15,721.039978,721.789978,690.539978,690.539978,690.539978,44300
1997-01-16,686.710022,686.890015,671.909973,678.940002,678.940002,36700
1997-01-17,679.340027,685.140015,672.72998,676.909973,676.909973,31000
1997-01-20,669.030029,679.559998,658.179993,679.559998,679.559998,35500
1997-01-21,684.309998,685.460022,664.679993,664.700012,664.700012,28300
1997-01-22,661.659973,677.630005,653.419983,662.849976,662.849976,30400
1997-01-23,663.330017,672.900024,654.950012,663.559998,663.559998,30200
1997-01-24,663.650024,679.039978,662.27002,676.52002,676.52002,28800
1997-01-27,678.190002,687.98999,678.169983,685.840027,685.840027,32000
1997-01-28,682.26001,696.210022,681.01001,687.25,687.25,27300
1997-01-29,687.840027,696.23999,687.840027,695.950012,695.950012,33100
1997-01-30,698.179993,708.200012,697.950012,698.599976,698.599976,38600
1997-01-31,698.539978,704.440002,693.820007,700.219971,700.219971,34100
1997-02-03,701.429993,709.799988,701.429993,709.789978,709.789978,29300
1997-02-04,711.109985,713.880005,707.859985,713.429993,713.429993,41400
1997-02-05,714.820007,715.869995,708.719971,712.5,712.5,35300
1997-02-06,713.640015,726.130005,713.640015,716.710022,716.710022,49800
1997-02-07,717.289978,723.02002,715,721,721,39100
1997-02-10,720.419983,721.5,712.929993,712.929993,712.929993,31500
